uid,SMILES,S1_energy(eV),T1_energy(eV)
train_8658,Cc1cc(Cl)c(-c2ccc(N)nn2)cc1C,3.5376,2.7406
train_8659,CC(=O)c1ccc(NC(=O)O[C@@H](c2ccc(O)cc2)C(C)(C)CCO)cc1,3.8146,3.3167
train_8660,Cc1c(Cl)cccc1C(OS(C)(=O)=O)C1CCC(=O)N1CCNC(=O)OC(C)(C)C,4.9726,4.0211
train_8661,O=C(c1ccc(-c2cc(Cl)cc(C(F)(F)F)c2)s1)C1CC1,3.7041,2.8
train_8662,CCOC(=O)C1=C(CSc2nc3ccccc3c(=O)n2CCCc2ccccc2)NC(=O)NC1,4.3979,3.0174
train_8663,CCNC(Cc1ccc(C(C)(C)C)cc1)C(C)(CC)OC,5.0848,4.13
train_8664,CCCOC(=O)N1CCN(C(=O)c2ccc3c(Cl)c(C)c(-c4ccc(CN)cc4)nc3c2)C[C@H]1N,3.8696,3.0096
train_8665,O=C(NCc1ccc(C(=O)O)cc1)NC[C@H]1CCO[C@@H]1c1ccccc1,4.7515,3.8765
train_8666,C[C@H](NCC(=O)N1[C@H](C)CCC[C@H]1C)c1ccc2c(c1)CCC(=O)N2,4.8729,3.8141
train_8667,CCCOC1CCCN(C(=O)CCC(C)N)C1,5.6629,5.0772
train_8668,CCC(C(=O)NC1CCN(CCC(NC(=O)c2ccc(Cl)cc2)C2CCCCC2)CC1)c1ccc(S(C)(=O)=O)cc1,4.1579,3.8328
train_8669,CCN(C(=O)Nc1nccs1)[C@H](C)c1cccc(O)c1,5.0819,3.7246
train_8670,CC(NC(=O)C(NS(=O)(=O)c1cccs1)C(C)C)c1cccc2ccccc12,4.4988,3.0591
train_8671,NC[C@H]1CCC[C@H]1C(=O)Nc1ccccc1C(=O)NCCc1ccccc1,4.3180000000000005,3.5031
train_8672,CCC(CC)c1nc2ccccc2n1CC(=O)O,5.0669,3.8242
train_8673,O=C(O)CSCc1cc2cccc([N+](=O)[O-])c2o1,3.2374,2.9029
train_8674,C=C(C)c1cc(-c2ccc(C(C)(C)C)cc2)oc1C,4.4738,3.0005
train_8675,CC(C)(CCC(=O)O)NC(=O)Nc1ccc(F)c(S(=O)(=O)NC2CC2)c1,4.7276,3.6894
train_8676,Cc1cscc1C(=O)N1CCS(=O)(=O)C(C)(C)C1,5.1344,3.8494
train_8677,CC1CC(NC(=O)c2ccc(O)cc2F)CCN1C,4.4268,3.9082
train_8678,CC(C)CSc1ccc(-c2[nH]c(=S)[nH]c(=O)c2C#N)cc1,3.2763,2.6996
train_8679,COC1(C)CCCN(CC(N)c2cccs2)C1,5.2735,3.7765
train_8680,O=C1CN(S(=O)(=O)C2CCCCC2)CCN1C1CC1,5.5202,5.0018
train_8681,CC(C)(C)OC(=O)NCC(=O)NCC1=NCC(Cc2cc(C(=O)NCc3cc4c(Cl)c[nH]c4cc3F)ccn2)=CC1,4.2468,3.3962
train_8682,CCOc1ccc(S(=O)(=O)NC2CCN(C(=O)CNC(=O)c3ccccc3)CC2)cc1,4.7357,3.9383
train_8683,CNC(C)C(=O)NC(C(=O)N1CCCC1C(=O)Nc1ccc2[nH]ccc2c1)C(C)C,4.5885,3.4401
train_8684,NC(=O)C1CCCCN1C(=O)Cc1cccc(C(F)(F)F)c1,5.1573,4.1574
train_8685,COc1ccc(C(=O)NC(=S)Nc2cccc(NC(=O)c3ccccc3C)c2)cc1,2.9786,2.707
train_8686,O=C(Cn1cc(NCc2cccc(C(=O)O)c2)cn1)NC1CC1,3.8308,3.7989
train_8687,COc1ccc(CC(=O)NCc2cccnc2N(C)C)cc1,4.6306,3.8673
train_8688,CN1C(CCN)C(=O)N(C(C)(C)C)CC1(C)C,4.8904,4.5118
train_8689,CC(=O)NCC1CN(C(=O)C2CC23CCOc2ccccc23)CCO1,4.8888,4.0317
train_8690,O=C(NCc1ccco1)C(=O)NCC(O)c1csc2ccccc12,4.3231,3.4773
train_8691,C/N=C(\NCCCc1c[nH]c2ccccc12)NC1CCN(Cc2ccccc2)CC1,4.7539,3.502
train_8692,O=C(CCC(F)(F)F)c1cc(C(F)(F)F)ccc1F,3.9121,3.4295
train_8693,N#Cc1ccc(N2CCC(CC(=O)O)C2)c(F)c1Br,4.5063,3.1651
train_8694,COc1ccc2[nH]c(C3(N)CCOCC3)nc2n1,4.6932,3.4305
train_8695,CC(C)(C)OC(=O)N1[C@H](Cc2ccc(C(=O)N3CCC(n4cccn4)CC3)cc2)CC[C@@H]1[C@H](O)c1cccnc1,4.7386,3.8931
train_8696,CC1CC(C(=O)O)CN(C(=O)NCCCC#N)C1,5.6369,5.0844
train_8697,CC1COCCN1CCNC(=O)c1ccnn1C1CCCC1,4.8761,4.2191
train_8698,COc1cc(/C=N\NC(=O)C(=O)NCc2ccco2)ccc1OCC(=O)Nc1ccc(Br)cc1C,3.9339,3.0949
train_8699,CC(C)(C)OC(=O)N[C@@H]1CCN(C2(C)Sc3c(C(=O)O)c(=O)c4cc(F)cc(Cl)c4n32)C1,3.9412,3.2157
train_8700,COc1cccc(C(=O)N(Cc2ccccc2)c2ccc(CC(=O)NCc3cccc(C)c3)cc2)c1,4.49,3.6081
train_8701,Cc1ccccc1CSCCCNC(=O)C1CCN(C)CC1,4.9167,4.1211
train_8702,CCCC[C@H](CC)OC(=O)[C@H](Br)CC,5.0932,4.5326
train_8703,CN1C(=O)[C@H](C#N)C(=N)C12CCCC2,5.157,4.4162
train_8704,Cc1cc(OCC(=O)Nc2ccc(Br)cc2)ccc1Cl,4.9102,3.7429
train_8705,COc1ncc([C@@H]2CCCN2C)c2nc3ccccc3cc12,2.6322,2.2858
train_8706,Cc1ccc(S(=O)(=O)N2CCCCC2C)cc1C(=O)OCc1cc([N+](=O)[O-])cc2c1OCOC2,3.7368,3.3004
train_8707,CC(C)(C)OC(=O)N1CCC[C@@H]1[C@@]12C[C@@H](O)C=CC1=CC(=O)O2,4.4804,3.1301
train_8708,CCNS(=O)(=O)NCC(c1ccccc1OC)N1CCN(CC)CC1,4.133,4.0538
train_8709,Cc1ccc2nc(COc3cccc(C(=O)NCC(c4cccs4)N4CCOCC4)c3)cn2c1,4.3537,3.195
train_8710,CC(NC(=O)N1CC(O)C(O)C1)c1nc(C(=O)O)cs1,4.788,3.7185
train_8711,COc1cccc(CN2C(=O)C(O)=C(C(=O)c3ccco3)C2c2cccs2)c1,3.4603,2.9014
train_8712,N#Cc1cc2c(I)ccc(F)c2s1,4.0146,2.9416
train_8713,NC1(CC(=O)Cc2ccc(F)cc2Br)CCCCC1,4.2049,3.6652
train_8714,CSc1nn2c(=O)c(C(C)=O)cnc2s1,3.5028,3.0728
train_8715,O=C(CCC1CCNC1)N1CCN(Cc2ncc(-c3ccccc3)o2)CC1,4.1113,3.2026
train_8716,CCOC(=O)C(C)c1ccccc1C(C(=O)OCC)C(C)C,5.2245,4.1233
train_8717,CC(C(=O)O)N(Cc1cncc(OCc2ccccc2)c1)C1CC1,4.724,3.9303
train_8718,C/C(=C/C(=O)N1CCN(C(=O)c2ccc([N+](=O)[O-])s2)CC1)CCc1ccccc1,3.6162,3.0247
train_8719,Cc1ccc2oc(C(=O)NC3CCCC4OCCC34)cc2c1,4.5962,3.2728
train_8720,COc1cccc(/C=N/NC(=O)C(=O)NCc2ccccc2)c1O,3.5414,2.6786
train_8721,CCCCCCCCCCS(=O)(=O)c1cc(C#N)ccc1C(F)(F)F,4.7962,3.7321
train_8722,CC1CCC(C)N(C(=O)NCc2nc(C(=O)O)cs2)C1,4.4657,3.7060000000000004
train_8723,COC1C[C@@H](OC(=O)c2ccc(C)cc2)[C@H](COC(=O)c2ccc(C)cc2)O1,4.995,3.8127
train_8724,CC1=C[C@H]2C[C@H]1[C@H]1C(=O)N(c3cccc(OC(=O)c4ccco4)c3)C(=O)[C@@H]21,4.732,3.5279
train_8725,CCOC(=O)c1cc(CC)sc1NC(=O)NC1CC(N(CC)CC(=O)O)C1,4.5948,3.2502
train_8726,Cc1c(C#N)c(NC(=O)CN2CCC[C@@H]2c2nc3ccccc3s2)n(C[C@H]2CCCO2)c1C,3.9118,3.7517
train_8727,FC(F)(F)Oc1ccc(-c2ccc3[nH]ccc3c2)cc1,4.5217,3.4376
train_8728,CN(C)C1CCN(C(=O)c2cccc(-c3ccc4nccc(N)c4c3)c2)C1,4.1239,2.9354
train_8729,CCNC(C)C(=O)c1ccc2c(c1)NCC(c1ccccc1)O2,3.5479,3.042
train_8730,COc1ccc(CCNC(=O)CCc2ccc(-c3ccc(F)cc3)n2-c2ccc(NC(C)=O)cc2)cc1,4.0355,3.3458
train_8731,Cc1ccc(C(C)n2c(CCCl)nc3c(Cl)cccc32)s1,4.9459,3.6285
train_8732,OC(Cc1ncc[nH]1)Cc1ccccc1Cl,5.2652,4.1412
train_8733,CN(Cc1cccs1)C(=O)CSC(N)=NN,4.4726,3.7726
train_8734,CCOC1(c2noc(CCN)n2)CCC(C)(C)CC1,5.7006,4.6734
train_8735,CCOC(=O)c1sc(S)c(C(C)=O)c1C,3.8565,3.052
train_8736,COc1ccccc1NC(=O)C(C)OC(=O)c1ccc(Cl)c(S(=O)(=O)N2CCCCC2)c1,3.2833,3.2821
train_8737,C[C@H]1CCc2c(sc(NC(=S)NC(=O)c3ccc(-c4cccc(Cl)c4)o3)c2C#N)C1,3.1316,2.5746
train_8738,Cc1cnc(CNC(=O)c2cc3ccccc3oc2=O)s1,3.8674,2.9407
train_8739,CCCNC(=O)NC(=O)COC(=O)C(NC(=O)c1cccs1)C(C)C,4.6639,3.4705
train_8740,C=CC(=O)OCOc1ccc(OC(=O)c2ccc(OC(CCCCCC)C3CC(=C)C(=O)O3)cc2)cc1,4.2306,3.6325
train_8741,C[C@@H](NC(=O)c1ccc(/C(F)=C/C(c2cc(Cl)c(Cl)c(Cl)c2)C(C)(F)F)cc1C(F)(F)F)C(=O)N(C)CC(F)(F)F,4.3548,3.1065
train_8742,Cc1cc(N/C(=N\c2nccs2)Nc2ccccc2)c2ccccc2n1,3.6344,2.9101
train_8743,CC(C)[C@H](CCl)Nc1ccc(C(F)(F)F)cc1,4.7992,3.7838
train_8744,CCN1CCC(OC2CCC(C(=O)OC)CC2)C(=N)C1,4.5299,4.0159
train_8745,CCCc1cccc(C(=O)CC2(CN)CCCCC2)c1,3.6528,3.2055
train_8746,CCSCCOc1ccc2ccccc2c1CCN,4.1736,2.8848
train_8747,COc1ccc(N[C@H](C)c2nc(C)no2)cc1N1CCCC1=O,3.9858,3.3877
train_8748,O=C(O)c1ccc(CN2CCc3cc[nH]c(=O)c3C2)cc1,4.3402,3.1293
train_8749,CCOc1ccc(-c2nn(-c3ccccc3)cc2C=C(C#N)C(=O)Nc2cccc(OC)c2)cc1C,3.1883,2.5842
train_8750,O=C(CC1CC1)c1cc(NC(=O)c2cc(CNC(=O)C3CC3)ccc2Cl)ccc1Cl,3.9048,3.3481
train_8751,O=C(Cl)c1nc(I)cc(C(F)F)c1Br,3.792,3.3238
train_8752,COC1(C(=O)c2cc(C)c(C)cc2C)CCCC(C)C1,3.4809,3.0168
train_8753,CN1CCc2nc(C(=O)C(F)(F)F)sc2C1,3.1594,2.8094
train_8754,N=C(C/C(CN)=N/c1cccc(Cl)c1)C(F)(F)F,4.1358,3.4109
train_8755,CCCC1CN(c2cc(CC)ncn2)CCN1,4.744,4.0339
train_8756,CC(C)(C)OC(=O)NC1CCN(c2cc3c(cc2F)c(=O)c2c(=O)[nH]oc2n3C2CC2)C1,3.988,3.2343
train_8757,COc1ccccc1NC(=O)c1ccccc1NS(=O)(=O)c1ccccc1[N+](=O)[O-],3.1731,3.1346
train_8758,Cc1ccc(C(N)=S)cc1S(=O)(=O)N1CCCC1C,2.8731,2.5188
train_8759,CCCNC(C)CC(C)N1CCCC(C)C1,5.7847,5.6887
train_8760,CCOC(=O)C1Cc2cccc(C)c2CN1,5.1873,4.1318
train_8761,O=C(OCc1nc(COc2ccc(F)cc2)no1)c1ccc(F)cc1Br,4.3036,3.8078
train_8762,CC(C)(C)N(C(=O)O)[C@H]1CN(CC(F)(F)F)C[C@@H]1c1ccccc1,5.0544,4.1881
train_8763,CCOc1cc(C)ccc1NCC(=O)NC(=O)NCC(C)C,4.8428,3.8212
train_8764,CCCNc1ccnc(C(=O)N(CC)CC(C)(C)O)c1,4.3917,3.6842
train_8765,CCCCOC(=O)c1nc(Br)c2ccc(Oc3ccccc3)cc2c1O,4.037,2.82
train_8766,O=C(OOC(=O)[C@H]1CC2c3ccccc3C1c1ccccc12)[C@H]1CC2c3ccccc3C1c1ccccc12,5.1752,4.1184
train_8767,CC1C(=O)NC2(CCCC2)C(=O)N1c1cccc(Br)c1,4.8578,3.7883
train_8768,CCN/C(=N\CCN(C)C(C)C)NC1CCN(c2ncccc2Cl)C1,4.3847,3.4545
train_8769,NC1(c2noc(-c3ccc4ccccc4n3)n2)CCC1,3.7906,3.0182
train_8770,O=[N+]([O-])c1ccc2c(c1)=c1ccccc1=CSN=2,2.114,1.0803
train_8771,N#Cc1ccc(S(=O)(=O)N2CCCc3cc(F)c(F)cc32)cc1,3.6733,3.3591
train_8772,Cc1ccc(C(C)C)c(OC(C)C(=O)NC2CCCC2CN)c1,5.1023,4.0747
train_8773,N#CC1(CN2CCCSCC2)CC1,5.8625,5.3193
train_8774,Cc1nn(C)c(Cn2cc(CC(N)C(=O)O)nn2)c1Cl,5.5403,4.5039
train_8775,Cc1[nH]c(C(=O)O[C@@H](C)C(=O)Nc2ccccc2F)c(C)c1C(=O)OC(C)C,5.0723,3.6384
train_8776,CCOC(COC)(OCC)S(=O)CC(=O)N1CCSC1COc1ccccc1OC,4.9377,4.0535
train_8777,CCCc1nc(C(=O)N2CCNCC2C(=O)NCC)n[nH]1,5.0112,4.3132
train_8778,CCNC(Cc1cccc(F)c1)Cc1nc(C)c(C)s1,4.625,3.6341
train_8779,CCC(OC)c1ncc(CN)c(N)n1,4.6303,4.2056
train_8780,CC(c1n[nH]c(=S)n1-c1ccc(Cl)cc1)N(C)C,3.9381,3.5046
train_8781,O=C(Nc1cc(C(=O)N2CCNCC2)ccc1N1CCCN(C(=O)c2cccnc2)CC1)c1cc(F)cc(F)c1,3.9348,3.3236
train_8782,COc1ccc(CN(CC(=O)N(Cc2ccc(OC)cc2)C2CC2)C2CC2)cc1,4.8237,4.0865
train_8783,CN(c1ccc(N)cc1)S(=O)(=O)c1cnc[nH]1,4.7145,3.7539
train_8784,C=C(C)C(=O)CNCCOC,3.6272,3.1145
train_8785,O=C(Nc1ccc([N+](=O)[O-])nc1F)c1ccccc1,3.7726,3.2072
train_8786,CC1(C)CC1NC(=O)c1ccncc1Cl,4.3744,3.7899
train_8787,CCC(CC)n1ccc(CNCc2sccc2C)n1,5.2955,3.755
train_8788,C=CCn1c(SC(C)C(=O)c2ccc(NC(=O)C(C)(C)C)cc2)nnc1-c1ccccc1F,3.5314,3.1866
train_8789,Cc1cccc([C@@H]2CCCN2C(=O)NC2CCC(CN(C)C)CC2)n1,4.5681,4.0599
train_8790,CC(C)C1CCN(C(=O)c2cccc(OCC(=O)O)c2)CC1,4.6657,3.8680000000000003
train_8791,CC(C)C(=O)N1CCCCCC1CO,5.6123,4.9464
train_8792,CCn1cc(-c2cnc(CCCCCCN)[nH]2)cn1,5.2314,3.717
train_8793,c1cnc2cc(P(c3ccc4c(c3)c3ccccc3n3c5ccccc5nc43)c3ccnc4ccccc34)ccc2c1,2.4292,1.2894
train_8794,Cc1ccc(C(=O)Cn2c(C)nc3ccccc32)cc1C,3.5568,3.1753
train_8795,CS(=O)c1nncn1-c1nc(-c2cccs2)nc2scc(-c3ccccc3)c12,3.4535,2.6925
train_8796,CCCC/C=C/CCCCCCCC(=O)C(N)C1CCC(C(=O)O)CC1,4.1717,3.616
train_8797,CC(C)C1COC(c2cccc(C3=NC(C(C)C)CO3)n2)=N1,4.4003,3.3435
train_8798,O=C(COCc1ccccc1)Nc1ccccc1OC(F)F,5.0175,3.8773
train_8799,Cc1nn(CC(C)C)c(Cl)c1C(=O)OCC(=O)c1ccc2c(c1)[C@@H](C)C(=O)N2,3.9024,3.3185
train_8800,Cc1ccc(C(=O)Nc2ccnc(Cl)n2)c(C)c1,4.0822,3.6507
train_8801,CCOC(=O)Cc1ccc(OCC)c2ncccc12,4.1068,2.9395
train_8802,CNC(C)Cc1noc(Cn2cc3ccccc3n2)n1,4.2351,2.8931
train_8803,Cc1cc2ccc(C=O)c(CO)c2s1,3.4839,2.986
train_8804,CCCCCCCCOc1ccc(/C=C(/C#N)C(=O)OCC)cc1OCCCCCCCC,3.9616,2.5174
train_8805,CCOP(=O)(OCC)C(Cn1ccc2cc([N+](=O)[O-])ccc21)C(=O)O,3.8287,3.1724
train_8806,CC1CN2CCCC2CN1CC(C#N)C(F)(F)F,5.6629,5.566
train_8807,Cc1ccc(N2C[C@@H](NC(=O)N3CCN(Cc4ccccc4)CC3)CC2=O)cc1,4.8259,3.8163
train_8808,CC(C)c1c(CNC2CC2)cnn1Cc1ccc(Br)cc1,5.1648,4.0665
train_8809,CCC(CC)OC(=O)Oc1ccc(C(=O)NS(=O)(=O)c2cccc(C(=O)NCCCOC)c2)cn1,4.4603,3.8782
train_8810,c1ccc(CCNCc2ccccc2N2CCCC2)nc1,4.4738,3.8643
train_8811,BrC(Cc1ncc[nH]1)C1CCc2ccccc2C1,5.271,4.1611
train_8812,Cc1ccc(C(C)NC(=O)c2sccc2N)o1,4.5076,2.9691
train_8813,Cc1nc(Nc2ccccc2)nc(N2CCNCC2)c1C,4.4021,3.5673
train_8814,CCCNC(CC)c1c(CC)[nH]c2c(C)cc(C)cc12,4.8074,3.5026
train_8815,CCn1cnnc1-c1nn(C)c2c1CN(C(=O)c1cc(-c3ccccc3)n[nH]1)CC2,4.8414,3.634
train_8816,O=C(CCn1ccnn1)Nc1ccc(Cl)c(Br)c1,4.7922,3.7307
train_8817,CNC(=O)c1[nH]cc(CCCF)c1N,4.8271,3.2910000000000004
train_8818,CCc1cccc2cc(C3CCNC3)n(C)c12,4.8322,3.4758
train_8819,CC(=O)Nc1ccc(C)c(NC(=O)c2cc(C3CC3)nc3onc(C)c23)c1,3.7363,3.2897
train_8820,O=S(=O)(c1cnn(C2CCOCC2)c1)N1CCC[C@H]1c1ccccc1,5.3933,4.2203
train_8821,CC(C)c1nc2c(n1C)CCN(C(=O)CCN1C(=O)C3CCCCC3C1=O)C2,4.961,4.407
train_8822,Cc1cc(C)c([N+](=O)[O-])cc1C(=O)N1CCCC(C)(C(=O)O)C1,3.8615,3.3054
train_8823,COc1ccc(C(=O)N2CCCC(n3c(C)cnc3C3CC3)C2)cn1,4.2354,3.8372
train_8824,COc1ccc(S(N)(=O)=O)cc1C(=O)N(C)CCOc1cc(C)cc(C)c1,4.9628,3.8757
train_8825,COC(=O)c1cscc1N1C(=O)NCc2ccsc2C1=O,4.3149,3.384
train_8826,O=S(=O)(c1ccccc1)N(C[C@@H]1CCCCO1)c1nccs1,4.5853,3.5541
train_8827,Cc1ccc(N(C)C(=O)N(CC(N)=O)CC(=O)O)cc1,5.2515,4.1127
train_8828,Cn1c(Nc2cc(F)c(F)c(F)c2F)nc2cc(Oc3ccnc(C#N)c3)ccc21,4.1978,3.5603
train_8829,OCCCCN(CCc1ccccc1)c1ccc(Nc2ccccc2)cc1,4.0725,3.2792
train_8830,COc1cccc(CC(=O)OCC(=O)Nc2ccc(C(C)=O)cc2)c1,3.7838,3.2934
train_8831,CCCC1=NN(C)C2C(=O)N(CCOc3ccc(C[C@H](Oc4ccccc4)C(=O)OCC)cc3)C(CCC)=NC12,4.0239,3.6333
train_8832,CC(C(=O)NC1CCCc2c1cnn2CCO)C1CNC1,5.5515,4.6787
train_8833,COc1ccc(C)cc1[C@H](C)NC(=O)C[C@@H]1C=CCC1,5.1139,4.0695
train_8834,Cc1cccc2c(=O)n(CC(=O)NC(C)c3ccc(F)cc3)cnc12,4.5152,3.5207
train_8835,C=CCn1c(O)c(/C=N/C2CCN(Cc3ccccc3)CC2)c(=O)[nH]c1=S,3.3649,3.0719
train_8836,CCOC(=O)c1sc2nc([C@@H](C)N(C)Cc3ccc(OC)cc3)[nH]c(=O)c2c1C,4.296,2.9332
train_8837,CCN(CC(F)(F)F)S(=O)(=O)c1ccc(OC)cc1N,4.7469,3.7893
train_8838,COc1ccc(C(CCc2ccc(Cl)cc2)NCC(O)Cc2ccc(O)c(NS(C)(=O)=O)c2)cc1OC,4.9266,3.8868
train_8839,Cc1nc(-c2cccc(NCc3ccccc3Cl)c2)cs1,4.1028,3.1084
train_8840,N#C/C(=C\c1ccc(-c2cccc([N+](=O)[O-])c2)o1)C(=O)Nc1ccc(N2CCOCC2)cc1,2.3571,1.9827
train_8841,O=C(Nc1ccccc1)c1cc(S(=O)(=O)Nc2nncn2-c2ccc(F)cc2)c(S)cc1Cl,3.858,3.2946
train_8842,Cc1ccc(C(O)CCCC(=O)NC2CC2)cc1,5.3275,4.1715
train_8843,CSc1cc(NC2CCC(CN)CC2)ncn1,4.8921,3.9573
train_8844,COc1cc(-c2cccnc2-c2cc(F)c(S(N)(=O)=O)c(F)c2)ccc1Cl,3.912,3.3247
train_8845,Cc1ccc(N2CCCC2=O)cc1S(=O)(=O)N1CCOCC1,4.6356,3.6797
train_8846,Cn1cc(S(=O)(=O)N2CCc3ccccc32)cc1C(=O)NCCc1ccccc1,4.5734,3.9476
train_8847,CCc1c(O)nc(SCC(=O)Nc2cc(Cl)ccc2OC)[nH]c1=O,4.2085,3.5186
train_8848,Clc1ccc2ccc(C=Cc3cccc(C4CCc5ccccc5CO4)c3)nc2c1,3.6723,2.4713
train_8849,NC(=O)c1cc(C(F)F)c(O)c(N)n1,4.3547,3.07
train_8850,O=C1NC(=O)N(C2CCN(C(=O)CC34CC5CC(CC(C5)C3)C4)CC2)C1c1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1,3.9703,3.054
train_8851,NC(=O)CN(CC(=O)O)C(=O)c1cc2c(s1)CCC2,4.5207,3.2963
train_8852,CCCCOc1ccc(C(=O)Nc2cccc([C@@H]3SCC(=O)N3c3ccc(F)cc3)c2)cc1,4.544,3.6104
train_8853,NC(=O)c1cc2c(C(F)(F)F)cc(C(F)(F)F)nc2n2cc(-c3nnco3)nc12,3.3002,2.5171
train_8854,Nc1ccccc1SN(CC1CNC[C@H]1Cc1ccccc1Br)C1CC1,4.3501,3.4756
train_8855,C=C1O[C@H](N=[N+]=[N-])[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,4.6414,4.1792
train_8856,Cc1nc(Cl)ccc1NC(=O)C1CCCCCCC1,4.9282,3.7819
train_8857,Cc1ccc(CSCC(=O)N(C)[C@H](C)c2ccc(-n3cncn3)cc2)cc1,4.7649,3.7858
train_8858,Cc1csc(-c2nc3sccn3c2-c2ccncc2)c1,3.7287,2.7995
train_8859,COc1ccc(Cl)cc1COC(=O)Cc1ccccc1[N+](=O)[O-],3.8012,3.2531
train_8860,Cc1ccc(N)c(F)c1C#N,4.3664,3.2089999999999996
train_8861,COCCCNc1nc(C)cn1CCc1nccn1C,4.4538,4.1498
train_8862,CCC=C(C=NO)c1ccccc1,4.8928,2.9949
train_8863,O=C(c1cnc2ccccc2n1)N1CCN(c2ccc(N3CCOCC3)nn2)CC1,2.7717,2.6011
train_8864,CN(CC(=O)NCC1(O)CCC1)c1ccccc1[N+](=O)[O-],3.2865,2.6629
train_8865,CC(C)(C)C(CCO)NC1CC(c2cccc(Cl)c2)C1,5.2103,4.0773
train_8866,O=C(NC1C2CC3CC(C2)CC1C3)c1ccc(COc2ccc(F)cc2F)o1,4.6942,3.6249
train_8867,Cc1ccc(C)c(C(N)c2cc(Br)sc2Br)c1,4.7626,3.3944
train_8868,Cn1ncc2c(=O)n(CC(=O)N3CCCS/C3=N\c3ccc(Cl)c(Cl)c3)cnc21,4.2404,3.4613
train_8869,CCN1CCN(C(=O)C(=O)NCCc2ccc(OC)c(OC)c2)CC1,4.1563,3.6849
train_8870,CCOCCCN1C(=O)C(c2ccc(OC)cc2)=C(N(CC)c2ccccc2)C1=O,2.3976,1.9733
train_8871,Cc1ccc(-n2nccn2)c(C(=O)N2C[C@@H](Cc3nc4ccccc4s3)CC[C@H]2C)c1,4.6768,3.6595
train_8872,Cc1cc(C(=O)N(CCC2CCS(=O)(=O)C2)Cc2cc(N)ccc2Cl)n[nH]1,4.6408,3.6684
train_8873,C=CCNC(=O)Nc1c2c(cc3c1OCC3)OCC2,4.468,3.5331
train_8874,CCCNC(c1ccc(Cl)c(Cl)c1)C1(OC)CCOCC1,4.6896,3.9289
train_8875,C=C(SC)c1nccc(OC(C)(C)CC(C)(C)C)c1O,3.7288,2.9954
train_8876,C[C@@H](CCCN=C=O)CN=C=O,6.5615,6.1453
train_8877,Cc1csc(C(=O)O)c1S(=O)(=O)NC1CCS(=O)(=O)C1,4.5209,3.2984
train_8878,CCCNC(=O)C(C)NC(=O)C1CC(=O)N(c2ccc(CC)cc2)C1,4.9996,3.8396
train_8879,CN1CCN(C)C(CC(O)C2CCC2)C1,5.4924,5.4081
train_8880,COc1ccc(C(=O)C2CCN(C(=O)c3ccc(C(=O)N[C@@H]4CCN(Cc5cccc(C(F)(F)F)c5)C[C@H]4F)cn3)CC2)cc1,3.7552,3.2876
train_8881,CC12CCC(C/C1=N/NC(=O)c1ccccc1O)C2(C)C,4.4293,3.592
train_8882,CCN/C(=N\CCc1ccc(O)c(OC)c1)N1CCN(Cc2ccccc2)CC1,4.7593,3.9467
train_8883,Cc1c(C)n(-c2ccc(Br)c(F)c2)c2ccccc12,3.8974,3.4184
train_8884,CC(=O)CN(c1ccccc1[N+](=O)[O-])c1c2ccccc2nc2ccccc12,3.1638,2.1379
train_8885,COc1cccc(NC2=C(c3cccs3)C(=O)N(c3ccc(F)cc3F)C2=O)c1,3.0349,2.0705
train_8886,O=C(CC1CC2CCC1C2)NCCc1nc(C(=O)O)cs1,4.7744,3.7178
train_8887,CC/C(=N\NC(=O)CSc1cccc2cccnc12)c1cc(C)ccc1O,3.0654,2.7947
train_8888,CC(C)N1CCN(CCC(=O)O)CC1C,4.8602,4.8122
train_8889,O=C(Nc1ccnc(Cl)n1)c1ccc(Cl)cc1F,3.9338,3.5839
train_8890,CC(C)(C)C(c1ccc(O)cc1)[C@H](N)C(=O)O,5.1106,4.1160000000000005
train_8891,CC(C)(C)c1ccc(S(=O)(=O)N2CC=C(c3c[nH]c4ccc(Cl)cc34)CC2)cc1,4.5967,3.3915
train_8892,CCC(CC)C(=O)C(C)C#N,4.28,3.7069
train_8893,CCCc1cc(C(=O)O)ccc1-c1ccc(OCCN[C@H](C)[C@@H](O)c2ccc(O)cc2)c(C)c1,4.3986,3.6056
train_8894,NCC(CCC(=O)NC1CCCC1)c1ccncc1,4.8605,4.1296
train_8895,CC(CNC(=O)c1ccc(N2CCNC2=O)cc1)(C(=O)O)c1ccccc1,4.7382,3.6306
train_8896,CCOc1cc(/C=C2/C(=S)N=C2N)ccc1OCc1ccc(Cl)cc1,2.7522,2.4062
train_8897,CC(C)CN(CC(N)=O)CC(=O)N(C(C)C)C(C)C,5.2481,4.9992
train_8898,CCc1ccc(OC)c(CC(C#N)c2ccc(C(=O)O)cc2)c1,4.3515,3.8686
train_8899,O=C(Nc1ccc(Cl)cc1)c1ccnc(Cl)c1[N+](=O)[O-],3.0686,2.9803
train_8900,N#Cc1cccc2cc(C=O)sc12,3.5258,2.7871
train_8901,O=C(N/N=C/c1cc2c(c([N+](=O)[O-])c1)OCO2)c1ccncc1,3.5569,2.7285
train_8902,CCCCCCCCN1C(=O)C(c2ccccc2)=C(N2CCCC(CO)C2)C1=O,3.2908,2.1517
