id,SMILES,MLM,HLM,AlogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,LogD,Molecular_PolarSurfaceArea
TRAIN_0759,COc1cc2ccccc2cc1C(=O)N(CCN(C)C)c1nc2c(F)cccc2s1,3.154,56.331,4.682,423.503,4,0,6,3.698,73.91
TRAIN_0760,COc1cc(OC)c(OC)cc1CNC(C)(C)CC(C)(C)C,25.681,81.449,3.687,309.444,4,1,8,2.463,39.72
TRAIN_0761,COc1ccc(C(N)=O)cc1NC1C2CCOC2C12CCC2,47.348,68.736,1.468,302.368,3,2,4,1.467,73.58
TRAIN_0762,CCc1c(C(=O)NCC(OC)C(C)(C)C)cnc2c1c(=O)n(C)c(=O)n2C,8.775,4.434,1.878,376.45,5,1,6,1.878,91.83
TRAIN_0763,CCC(C)(C)Nc1[nH]c2c(Cl)cc(C)cc2c(=O)c1C(C)=O,0.659,48.057,3.721,320.814,2,2,4,3.721,58.2
TRAIN_0764,CC(Oc1cc(-n2nc3c(c2Cl)CCCC3)c(F)cc1Cl)C(C)(C)O,26.318,47.442,5.309,387.276,3,1,4,5.309,47.28
TRAIN_0765,CCc1cc2c(nc(-c3ccccc3)n3nnnc23)s1,96.01,92.86,2.486,281.336,4,0,2,2.486,84.21
TRAIN_0766,CC(C)Oc1nnc(SCc2nc3c(=O)n(C)c(=O)n(C)c3[nH]2)s1,59.14,82.209,1.46,368.435,7,1,5,1.46,157.85
TRAIN_0767,Cc1ccc(-c2nc3n(CC(=O)Nc4cccc(F)c4)c4c(c(=O)n3n2)CCC4)cc1,19.45,83.19,4.178,417.436,4,1,4,4.178,80.12
TRAIN_0768,CCOC(=O)CCCOc1nc(C(C)C)c2c(c1C#N)CCCC2,40.44,99.99,4.631,330.421,5,0,8,4.631,72.21
TRAIN_0769,Cc1c(Cl)cccc1-c1ccc(CNCCN(C)C)o1,1.8,41.404,3.648,292.804,2,1,6,2.466,28.41
TRAIN_0770,Cc1nc(C2CC2)nc2sc(C(=O)NC3(C#N)CCCC3)c(N)c12,6.366,33.682,2.063,341.431,4,2,3,2.063,132.93
TRAIN_0771,CCc1ccc(S(=O)(=O)C2CS(=O)(=O)CC2NCc2ccccc2C)cc1,0.025,0.041,3.444,407.547,5,1,6,3.42,97.07
TRAIN_0772,CCOC(=O)c1[nH]c(=O)n(CCNC(=O)OC(C)(C)C)c1C,46.21,59.29,0.511,313.35,5,2,8,0.511,96.97
TRAIN_0773,Cc1ccc(C(O)(c2ccccc2)c2cnc(C(C)C)n2C)cc1,2.076,13.259,4.538,320.428,2,1,4,4.906,38.04
TRAIN_0774,COC(=O)C(O)c1cnc2c(c1-c1ccc(Cl)cc1)C(C)(C)CN(Cc1ccc(OC)cc1)C2=O,71.1,80.3,4.177,494.967,6,1,7,4.177,88.96
TRAIN_0775,CC(=O)Nc1ccc(Nc2ncnc3c2cnn3-c2cccc(C)c2)cc1,56.3,80.66,3.372,358.397,4,2,4,3.372,84.72
TRAIN_0776,O=C(O)C1CC[C@@H](c2ccccc2)N1C(=O)C1CCCS1(=O)=O,99.99,99.99,1.331,337.391,5,1,3,0.695,100.13
TRAIN_0777,Nc1ccc(F)cc1-c1cc(Cl)cc(Cl)c1,2.172,16.162,4.136,256.103,0,1,1,4.136,26.02
TRAIN_0778,OC(Cn1c(Cc2ccccc2)nc2ccccc21)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21,67.72,99.0,7.677,500.418,2,1,6,7.69,42.98
TRAIN_0779,Cc1ccc(OCCOCCN2CC(C)OC(C)C2)c(Br)c1,0.14,0.15,0.035,462.332,8,2,8,-0.55,105.53
TRAIN_0780,CCO[C@H]1CN(Cc2cc(=O)c3c(C)ccc(C)c3[nH]2)C[C@@H]1O,17.61,99.99,2.043,316.395,4,2,4,1.856,61.8
TRAIN_0781,Cc1ccc(C(=O)c2[nH]c3ccccc3c2CC(=O)O)cc1,52.89,26.16,3.969,293.317,3,2,4,2.523,70.16
TRAIN_0782,CC(C)(C)c1cc(O)c2o/c(=N\c3ccc(S(N)(=O)=O)cc3)c(C(N)=O)cc2c1,77.653,95.99,2.562,415.463,6,3,4,2.568,153.44
TRAIN_0783,NC1=NC(c2ccc(Cl)cc2)N2C(=N1)N=C(O)c1ccccc12,27.162,95.111,3.814,325.752,4,2,1,3.71,86.57
TRAIN_0784,O=C1C2CN(Cc3cncs3)CCN2C(=O)N1c1ccccc1,62.51,92.88,1.037,328.389,4,0,3,1.05,84.98
TRAIN_0785,CC(C)(C)Nc1ncc(-c2cn[nH]c2)cc1-c1nc2ccccc2o1,70.709,99.128,3.371,333.387,3,2,4,3.373,79.63
TRAIN_0786,CC1(C)CC2(CCCN(CC(O)(c3ccccc3)c3ccccc3)C2)CCO1,0.005,0.006,4.152,379.535,3,1,4,2.748,32.7
TRAIN_0787,COc1cc(=O)[nH]cc1C(=O)N1CCCCC1c1cc[nH]n1,97.39,99.0,0.033,302.328,4,2,3,0.045,87.32
TRAIN_0788,Cc1c(-c2ccccc2)sc2ncnc(NS(=O)(=O)c3ccc(Cl)s3)c12,8.82,0.33,4.68,421.944,4,1,4,4.681,136.81
TRAIN_0789,CC(=O)c1c(NN2CCOCC2)oc(C)cc1=O,64.298,90.56,-0.452,252.266,5,1,3,-0.452,67.87
TRAIN_0790,N[C@@H](CC(=O)N1CCN(C(=O)OCc2ccccc2)CCN1C(=O)c1ccccc1)Cc1cc(F)c(F)cc1F,7.365,49.003,3.899,554.56,5,1,8,2.974,96.18
TRAIN_0791,Cc1ccc(-c2nc3[nH]c(CNc4ccc(F)cc4)cc(=O)n3n2)cc1,0.1,0.27,3.698,349.362,3,2,4,3.424,71.84
TRAIN_0792,CCC(CO)NCc1ccc(OCc2cccs2)cc1,1.333,9.615,3.036,291.408,3,2,8,1.844,69.73
TRAIN_0793,CCOC(=O)Cc1c(-c2nc3ccccc3c(=O)[nH]2)[nH]c2ccccc12,25.76,36.03,3.317,347.367,4,2,5,3.317,83.55
TRAIN_0794,Cc1n[nH]c(CC(=O)N2C[C@@H](C)[C@](O)(C(C)C)C2)n1,88.192,94.691,0.268,266.339,4,2,3,0.268,82.11
TRAIN_0795,CCOC(=O)N1CCN(C(=O)c2cn(C)c(=O)cc2OC)CC1,97.31,98.55,-0.847,323.344,5,0,4,-0.847,79.39
TRAIN_0796,Cc1[nH]nc(O)c1C(c1ccc(F)cc1)c1c(O)n[nH]c1C,62.269,99.9,3.067,302.304,4,4,3,2.408,97.82
TRAIN_0797,O=C(CCn1ccc2ccc(F)cc21)Nc1nc[nH]n1,84.28,85.0,1.7,273.266,3,2,4,1.906,75.59
TRAIN_0798,CN(c1cccc(NC(=O)C(C)(C)C)c1)S(C)(=O)=O,61.536,92.341,1.613,284.374,3,1,4,1.614,74.86
TRAIN_0799,CC(NCc1csc(Br)c1)c1cc2ccccc2o1,0.02,1.3,4.047,336.247,1,1,4,3.706,53.41
TRAIN_0800,Cc1cc(NC(=O)C(C)c2ccc(Cl)s2)nc(=O)[nH]1,99.99,99.99,2.12,297.761,3,2,3,2.12,98.79
TRAIN_0801,CCC(=O)c1ccc(OCCCn2cnc3ccccc32)cc1,2.9,39.28,3.652,308.374,3,0,7,3.689,44.12
TRAIN_0802,CN1C(=O)C(CC(=O)N2CCN(c3ccccn3)CC2)=C2CCCCC21,2.2,20.4,1.805,354.446,3,0,3,1.801,56.75
TRAIN_0803,COc1ccc2[nH]cc(CCNC(=O)CCC(=O)N3Cc4cccn4-c4ccccc43)c2c1,3.242,2.039,3.469,442.51,3,2,7,3.469,79.36
TRAIN_0804,C[C@]12C=CC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12,15.493,60.794,3.55,284.393,2,0,0,3.55,34.14
TRAIN_0805,O=C(Nc1cccc(F)c1)C1CC(=O)N(Cc2ccccn2)c2nc3ccccc3n21,30.455,51.601,2.978,415.42,4,1,4,2.98,80.12
TRAIN_0806,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,36.99,59.55,3.339,442.372,10,7,4,2.924,177.14
TRAIN_0807,COc1ccc(-c2coc3c(O)c(OC)ccc3c2=O)cc1,12.238,81.465,2.591,298.29,5,1,3,2.582,64.99
TRAIN_0808,O=C(Cc1c(F)cccc1Cl)N1CCc2n[nH]c(=O)n2CC1,29.231,13.601,1.317,324.738,3,1,2,1.317,65.0
TRAIN_0809,COc1cc(C2CCN(C(=O)OC(C)(C)C)CC2)ccc1Nc1ncc(Cl)c2[nH]c3c(S(=O)(=O)C(C)C)cccc3c12,62.367,46.76,6.687,613.167,6,2,8,6.686,121.99
TRAIN_0810,c1ccc(Cn2c(CNc3nc4ccccc4n3CCN3CCOCC3)nc3ccccc32)cc1,0.05,0.34,4.809,466.577,4,1,8,4.8,60.14
TRAIN_0811,COc1ccc2c(c1OC)C(=O)OC2c1c(O)cc(C)n(Cc2ccccn2)c1=O,99.99,99.99,1.654,408.404,7,1,5,1.005,98.19
TRAIN_0812,CCN(CC)C(=O)Cc1c(/C=C/c2ccccc2)[nH]c2ccccc12,0.04,4.1,4.547,332.439,1,1,6,4.547,36.1
TRAIN_0813,COc1c(C)c(C)c2nc(NCc3ccc(S(N)(=O)=O)cc3)sc2c1C,44.37,99.08,3.995,391.508,4,2,5,3.995,130.93
TRAIN_0814,COc1cc(OC)c2nc(N3C[C@@H](NC(C)=O)[C@H](C(C)C)C3)cc(C)c2c1,84.82,99.0,3.429,371.473,4,1,5,3.429,63.69
TRAIN_0815,CO[C@H]1C[C@H](C(=O)Nc2ccncc2C(C)=O)N(S(C)(=O)=O)C1,82.54,99.99,-1.49,341.383,6,1,5,-1.073,114.05
TRAIN_0816,CC(C)CCCC(C)NC(=O)C1CCN(c2nc(Cl)nc3[nH]cnc23)CC1,3.25,2.54,3.873,392.926,4,2,7,3.873,86.8
TRAIN_0817,CC(C)(C)OC(=O)CCc1nc(Cc2cccc3cccnc23)no1,0.75,0.75,2.704,339.388,5,0,7,2.707,78.11
TRAIN_0818,Cc1cc2n(CCNC(=O)COc3ccc(F)cc3)ccn2n1,47.719,57.667,1.599,316.33,3,1,6,1.599,60.56
TRAIN_0819,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,86.802,96.87,-1.205,333.357,4,1,3,0.298,64.09
TRAIN_0820,O=c1[nH]c(N2CCN(Cc3ccccc3)CC2)nc(O)c1Cc1ccccc1,93.55,39.12,3.369,376.452,4,2,5,1.846,68.17
TRAIN_0821,Nc1[nH]nc(-c2ccc(Br)s2)c1-c1ccc2c(c1)OCO2,3.137,74.292,3.406,364.217,3,2,2,3.407,101.4
TRAIN_0822,CCc1nn2c(=O)c(CC(=O)OC)c(C)[nH]c2c1-c1ccccc1,84.61,95.95,2.863,325.362,4,1,5,2.863,73.22
TRAIN_0823,Cc1cc2c(cc1S(=O)(=O)N(C)CC(=O)N(C)Cc1ccco1)OC(C)C(=O)N2,0.56,6.55,0.738,421.467,5,1,6,0.738,117.54
TRAIN_0824,O=C(O)c1nc2nc(C3CC3)cc(C(F)(F)F)n2n1,92.98,85.242,2.383,272.183,5,1,3,0.912,80.38
TRAIN_0825,COc1ccc(OC)c(CNC(=O)C23CCCC=C2N(C2CCCC2)C(=O)CC3)c1,0.44,1.18,3.295,412.522,4,1,6,3.295,67.87
TRAIN_0826,O=C(c1ccc(Cl)s1)N1CCCn2nc(-c3ccncc3)cc2C1,38.98,68.33,2.645,358.845,3,0,2,2.646,79.26
TRAIN_0827,CCN(CCCN1C(=O)CCC1(C)C(=O)NCCC(C)C)c1cccc(C)c1,0.746,4.817,3.63,387.559,2,1,10,3.377,52.65
TRAIN_0828,Cn1nnc(-c2ccc(OCC(=O)Nc3ccc4[nH]ccc4c3)cc2)n1,72.44,45.9,2.418,348.359,5,2,5,2.418,97.72
TRAIN_0829,COC(=O)c1cc2cc(-c3ccccc3)c3ccccc3c2o1,73.47,57.01,4.707,302.323,2,0,3,4.707,39.44
TRAIN_0830,CC1=C(c2ccc(F)cc2)S(=O)(=O)N=C1Nc1ccc2[nH]c(C(F)(F)F)nc2c1,72.613,49.8,3.238,424.372,4,2,4,2.615,95.59
TRAIN_0831,Cc1ccc(CN2CCC=C(CCC(=O)O)C2=O)cc1,99.879,92.642,2.418,273.327,3,1,5,0.967,57.61
TRAIN_0832,Cc1cc(NCc2cn[nH]c2-c2ccccc2)ccc1Br,12.12,18.81,4.71,342.233,1,2,4,4.709,40.71
TRAIN_0833,CCn1c(=O)n(CC)c2cc(NC(=O)CCN3Cc4ccccc4C3=O)ccc21,5.92,58.12,1.854,392.451,3,1,6,1.854,72.96
TRAIN_0834,CCN1CCCC1CN(Cc1cccnc1)Cc1cccc(Oc2ncccn2)c1,4.34,76.28,-3.772,595.643,13,4,14,-3.406,186.51
TRAIN_0835,CSc1cccc(NC(=O)N2Cc3c(sc4c3CCCC4)-n3cccc3C2C)c1,14.41,8.41,5.639,423.594,2,1,2,5.639,90.8
TRAIN_0836,Cc1nc(N2CCN(c3ccccn3)CC2)nc2c1C(=O)CC(c1cccc(Cl)c1)C2,86.09,54.38,4.511,433.933,4,0,3,4.511,62.22
TRAIN_0837,CC(=O)Nc1nc2ccc(-c3nn(C(C)C)c4nc(N)ncc34)cc2s1,63.522,62.488,2.293,367.428,5,2,3,2.307,139.85
TRAIN_0838,Cc1ccc(Cl)c(OCC(O)Cn2cnc3cc(C)c(C)cc32)c1,1.0,6.47,4.795,344.835,3,1,5,5.58,47.28
TRAIN_0839,CCCn1nccc1-c1csc(S(=O)(=O)Nc2ccccc2)c1,0.008,0.079,3.436,347.455,3,1,6,3.447,100.6
TRAIN_0840,COC(=O)c1c(CC(=O)N2CCCC2C2CCCCC2)[nH]c(C(C)=O)c1C,0.24,0.26,3.715,374.474,4,1,6,3.697,79.47
TRAIN_0841,CC(C)C(C)(NC(=O)c1ccccc1C#Cc1ccccc1)C(N)=O,41.879,79.973,3.639,334.412,2,2,6,3.639,72.19
TRAIN_0842,COc1ccc(C)cc1N(CC(=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1)S(C)(=O)=O,0.06,0.69,1.631,481.586,6,1,8,1.631,129.85
TRAIN_0843,Cc1ccnn1CCNC(=O)CCc1nc2ncc(Br)cc2[nH]1,64.19,71.82,1.267,377.239,4,2,6,1.501,88.49
TRAIN_0844,CCOc1ccccc1NC(=O)c1cc2cc(C)ccc2[nH]1,46.97,44.69,4.018,294.348,2,2,4,4.018,54.12
TRAIN_0845,Cc1ccn(CCNc2ncnc3c2CCN(c2cnccn2)CC3)n1,0.508,2.046,1.501,350.421,5,1,5,1.5,84.65
TRAIN_0846,COC(=O)c1ccc(COc2ccc(-c3nnn[nH]3)cc2)cc1,0.63,0.35,2.282,310.307,6,1,6,1.852,89.99
TRAIN_0847,CCCNc1c(C(=O)OC)nc2ccc(Cl)cn12,0.86,0.06,2.739,267.711,3,1,5,2.746,55.63
TRAIN_0848,COc1cc(C2CC(=O)c3cc4c(O)n[nH]c4nc3C2)cc(OC)c1OC,77.006,94.572,2.582,369.371,7,2,4,2.602,106.56
TRAIN_0849,O=C1CS/C(=N/c2cccc(C(F)(F)F)c2)N1,39.462,13.565,2.824,260.236,3,1,2,2.824,66.75
TRAIN_0850,Cc1noc(C)c1-c1cc(CCC2CNCCO2)ncn1,99.99,99.99,0.918,288.345,5,1,4,0.913,73.07
TRAIN_0851,Cc1cnn(C2CCCC2)c1NC(=O)N1CCC[C@H]1c1nc(C(C)C)no1,45.085,40.659,3.043,372.465,4,1,4,2.94,89.08
TRAIN_0852,Cc1cc(Br)ccc1OCCOCCN1CC(C)OC(C)C1,0.16,4.07,0.035,462.332,8,2,8,-0.55,105.53
TRAIN_0853,Cc1nc2sc(C(=O)NC(C)(C)C)c(N)c2c(C)c1C,4.39,5.12,2.679,291.412,2,2,2,2.7,96.24
TRAIN_0854,COc1cc(=O)n(C)cc1C(=O)Nc1nc(-c2ccccn2)cs1,18.08,27.57,0.536,342.372,5,1,4,0.584,112.66
TRAIN_0855,COc1cc(=O)n(C)cc1C(=O)NCCc1ccc(S(N)(=O)=O)cc1,92.19,73.98,-0.652,365.404,5,2,6,-0.652,127.18
TRAIN_0856,COC(=O)c1cc(Br)c(=O)n(-c2nccs2)c1,0.451,0.298,0.724,315.143,4,0,3,0.724,87.74
TRAIN_0857,Cc1cccc(C(O)(C(=O)NNc2ccc(Br)cn2)c2cccc(C)c2)c1,6.625,10.666,4.675,426.306,3,3,5,4.675,74.25
TRAIN_0858,CCC(=O)c1ccc(CCCCCC(=O)O)s1,31.309,19.472,3.549,254.345,3,1,8,2.095,82.61
TRAIN_0859,CCCCC/N=c1\n(C)c(=O)nc2sccn12,2.86,35.86,2.484,252.336,4,0,4,2.474,73.56
TRAIN_0860,COc1cc(C(=O)Nc2ncc3c(n2)CC(c2ccc(C)cc2)CC3=O)cc(OC)c1OC,12.86,8.37,3.606,447.483,7,1,6,3.54,99.64
TRAIN_0861,COc1cc2c(cc1OC)C1(c3ccoc3)OC(=O)C(=O)N1CC2,2.04,3.15,1.89,329.304,5,0,3,1.89,78.21
TRAIN_0862,COc1ccc(CN2CCC3(CCNCC3)C2)cc1Cn1cncn1,34.943,19.298,1.451,341.451,5,1,5,-0.71,55.21
TRAIN_0863,CC(C)Cn1ccnc1NC(=O)c1cnc(C(C)(C)C)s1,25.302,50.621,2.995,306.426,3,1,5,3.14,88.04
TRAIN_0864,Nc1nc(N(Cc2ccco2)Cc2ccco2)c2[nH]cnc2n1,19.41,99.99,1.768,310.311,3,2,5,1.768,110.0
TRAIN_0865,CCC1(c2ccc(NC(=O)c3c(OC)cccc3OC)cc2)CCC(=O)N=C1O,40.959,72.393,3.465,396.436,6,2,6,3.451,97.22
TRAIN_0866,CC(=O)CC(CC(C)C)n1nnc(-c2ccccc2)n1,0.05,8.46,2.944,272.346,4,0,6,2.944,60.67
TRAIN_0867,Clc1cc(Cl)cc(-c2ccc(CNCc3ccncc3)o2)c1,5.05,54.08,4.121,333.212,2,1,5,4.005,38.06
TRAIN_0868,O=C(O)c1ccc(-c2noc3ccc(-c4ccc(O)cc4)cc23)cc1,80.393,72.503,4.337,331.322,4,2,3,2.262,83.56
TRAIN_0869,CC(C)c1nc(CN(C)Cc2cnc(N(C)C)nc2)cs1,0.016,12.224,2.452,305.442,4,0,6,2.306,73.38
TRAIN_0870,CC(C)COc1cc(=O)n2c(c1C(=O)NCc1ccccc1F)CCCCC2,92.35,72.68,3.257,386.46,3,1,6,3.257,58.64
TRAIN_0871,CCOC(=O)c1c(NC(=O)c2cc(OC)c(OC)c(OC)c2)sc(C)c1-c1ccc(OC)c(OC)c1,1.0,0.52,4.187,515.575,8,1,11,4.187,129.79
TRAIN_0872,O=c1c(/C=N/Nc2nc3ccccc3s2)c(C(F)(F)F)[nH]n1-c1nc2ccccc2s1,99.9,99.9,4.393,460.455,4,2,5,4.393,138.98
TRAIN_0873,COC(=O)c1ccc(/C=C(\COc2cccc3ccccc23)CN(CCCN(C)C)C(=O)OC(C)(C)C)cc1,5.22,45.69,5.697,532.67,6,0,14,4.212,68.31
TRAIN_0874,CC(N)Cc1ccccc1S(=O)c1ccccc1,61.095,79.278,2.641,259.367,2,1,4,1.661,62.3
TRAIN_0875,CC(C)n1[nH]c(=O)c2c1NC(=O)CC2c1cnn(C)c1,32.431,41.797,-0.331,275.306,3,2,2,-0.332,79.25
TRAIN_0876,CN1CCN(c2nc(O)c3c(-c4ccsc4)ccnc3n2)CC1,54.424,71.352,2.551,327.404,5,1,2,2.53,93.62
TRAIN_0877,Fc1ccc(Nc2cnnc3c(Cl)cccc23)cc1,4.465,33.103,3.968,273.693,2,1,2,3.979,37.81
TRAIN_0878,COc1ccc(CNC(=O)CCc2nnc3ccc(-c4ccc(Cl)cc4)nn23)c(OC)c1,0.53,3.64,3.699,451.905,6,1,8,3.698,90.64
TRAIN_0879,O=C1CC2CS(=O)(=O)CC2N1C1CCCCC1,66.474,93.801,0.777,257.349,3,0,1,0.777,62.83
TRAIN_0880,Cc1nn(-c2ccccc2)c2nc3c(cc12)C(=O)CC(c1cccs1)C3,7.21,45.22,4.142,359.444,3,0,2,4.144,76.02
TRAIN_0881,CCC1(CC)NC(=O)N(Cc2cc3ccc(C)c(C)c3nc2Cl)C1=O,0.26,9.86,4.504,359.85,3,1,4,4.504,62.3
TRAIN_0882,COc1nn(C)c(=O)n1-c1ccccc1NC(=O)c1ccc(Cl)cc1Cl,72.92,86.79,3.954,393.224,4,1,4,3.954,74.23
TRAIN_0883,Clc1nc2cccnc2n2nc(-c3ccco3)cc12,1.318,3.785,2.933,270.674,3,0,1,2.934,56.22
TRAIN_0884,CC(C)COc1cc(=O)n2c(c1C(=O)NCCCN1CCCCC1)CCCCC2,15.18,92.88,2.586,403.558,4,1,8,1.086,61.88
TRAIN_0885,COCCOC(=O)c1c(C)[nH]c(C(=O)N2CCOc3ccc(S(C)(=O)=O)cc32)c1C,81.22,99.0,1.89,436.479,7,1,7,1.89,123.38
TRAIN_0886,CCC(C)c1ccc(O)c(NC(=O)c2nccnc2C(=O)O)c1,99.99,96.47,2.208,315.324,6,3,5,0.736,112.41
TRAIN_0887,CCOC(=O)c1[nH]c(=O)n(CCS(C)(=O)=O)c1C,75.03,72.64,-0.658,276.309,5,1,6,-0.658,101.16
TRAIN_0888,O=C(CCS(=O)(=O)c1ccccc1)N(Cc1ccccc1)c1nc2ccccc2s1,4.15,23.65,4.655,436.546,4,0,7,4.659,103.95
TRAIN_0889,CCOc1cc(C(=O)OCc2cc(=O)n3oc(C)cc3n2)cc(OCC)c1OCC,0.19,0.34,2.319,416.424,8,0,10,2.319,95.89
TRAIN_0890,COc1cc(OC)cc(OC/C(=C\c2ccc(C(=O)O)cc2)CNc2cnc3ccccc3c2)c1,26.84,7.89,5.0,470.516,6,2,10,3.529,89.91
TRAIN_0891,O=C(Nc1ccc2nc[nH]c(=O)c2c1)c1cc(-c2ccc(Br)s2)n[nH]1,29.03,70.55,2.738,416.252,4,3,3,2.738,127.47
TRAIN_0892,Cc1ncc(-c2ccc(C)c(S(=O)(=O)NC(C)(C)C)c2)o1,5.472,46.004,2.126,308.396,3,1,4,2.126,80.58
TRAIN_0893,Fc1ccc2onc(-c3cnc4c(c3)COc3ccccc3-4)c2c1,11.477,5.018,4.169,318.301,3,0,1,4.169,48.15
TRAIN_0894,CC(CCc1ccco1)NC(=O)c1cc(S(=O)(=O)N(C)C)c(Cl)cc1Cl,3.18,3.06,3.196,419.323,3,1,7,3.196,88.0
TRAIN_0895,O=C1N=C(O)C(CCc2ccncc2)(Cc2ccc(OCc3ccccc3)cc2)C(=O)N1,16.796,21.752,4.364,429.468,6,2,8,4.362,100.88
TRAIN_0896,CCOc1ccc2nc(NC(=O)CN(C)S(=O)(=O)c3ccc(Br)s3)sc2c1,1.0,13.93,2.895,490.415,5,1,7,2.943,153.45
TRAIN_0897,Cc1nn(C)c(C)c1S(=O)(=O)Nc1ccc(-n2nn[nH]c2=O)cc1,73.679,81.986,1.354,349.368,6,2,4,1.453,129.42
TRAIN_0898,Cc1ccc(-c2ccc(C(CN3CCCC3)N(C)C(=O)CN3C(=O)COc4cc(Cl)c(Cl)cc43)cc2)cn1,53.85,71.64,4.282,553.48,5,0,7,4.009,65.98
TRAIN_0899,COc1ccc(C2c3cccn3-c3sc4c(c3CN2C(=O)NCc2ccc(F)cc2)CCCC4)cc1,1.0,3.82,6.528,501.615,2,1,4,6.528,74.73
TRAIN_0900,O=C(O)/C=C/c1ccc2c(c1)N(Cc1ccccc1)C(=O)CO2,63.654,74.272,2.507,309.316,4,1,4,1.122,66.84
TRAIN_0901,COc1cc(OC)cc(N2CCC(N(C)C(=O)Cc3c(N)nc(C)[nH]c3=O)C2)c1,71.077,79.803,0.13,401.459,5,2,6,0.13,109.49
TRAIN_0902,CCC1(N2CCOCC2)CCN(C(=O)c2c[nH]c(=O)cc2OC)CC1,63.65,80.8,-0.735,349.425,5,1,4,-0.637,71.11
TRAIN_0903,C[C@@H](c1cn(-c2cccc[n+]2[O-])c(=O)c2c(C(F)(F)F)cccc12)N1C(=O)c2ccccc2C1=O,1.624,98.601,2.949,479.407,4,0,4,2.926,83.15
TRAIN_0904,CCn1cc(S(=O)(=O)N2CCN(S(=O)(=O)c3cnn(C)c3)CC2)cn1,69.7,79.58,-0.821,388.466,6,0,5,-0.821,127.16
TRAIN_0905,CCN(CC)Cc1ccc2c(c1)CN(C(=O)Nc1ccc(OC)cc1)CCO2,2.12,35.21,3.292,383.484,4,1,6,2.695,54.04
TRAIN_0906,Cn1c2c(c3cc(O)ccc31)C=NC(Cc1ccccc1)C(=O)N2,86.764,99.454,3.078,319.357,3,2,2,3.073,66.62
TRAIN_0907,Cc1nn(C)c2ncnc(NCc3cc4ccccc4[nH]3)c12,16.34,67.11,2.685,292.338,3,2,3,2.685,71.42
TRAIN_0908,COc1ccc(NS(=O)(=O)c2c(C)nn(-c3ccc(-c4ccccc4)nn3)c2C)cc1F,45.36,67.12,4.029,453.489,6,1,6,4.128,107.38
TRAIN_0909,COc1ccccc1CNC(=O)c1c(OC)cc(=O)n2c1CCCC2,16.2,99.0,1.387,342.389,4,1,5,1.387,67.87
TRAIN_0910,Cc1c(CC(=O)N2CCN(C(=O)C3COc4ccccc4O3)CC2)c(=O)oc2cc(O)c(Cl)cc12,43.785,80.558,2.831,498.912,7,1,3,2.134,105.61
TRAIN_0911,Cn1cc(S(=O)(=O)N2CCCCC2)cc1C(=O)Nc1ccc2c(c1)OCCO2,11.97,73.95,2.025,405.468,5,1,4,2.025,98.25
TRAIN_0912,C(=C/c1ccccc1)\CNCCCN1CCOCC1,24.768,84.143,1.724,260.375,3,1,7,0.736,24.5
TRAIN_0913,Cc1noc(C)c1CCNc1ncnc2onc(-c3cccc(Cl)c3)c12,88.41,99.37,3.65,369.805,4,1,5,3.645,89.87
TRAIN_0914,COc1ccc(-c2ncnc3nc4n(c23)CCC4)cc1,0.306,71.624,2.415,266.298,4,0,2,2.619,52.83
TRAIN_0915,COc1cccc(CN(c2nc3nc(C)c(Cl)c(C)n3n2)S(=O)(=O)c2ccc(Cl)cc2)c1,1.72,1.52,4.916,492.378,6,0,6,4.916,98.07
TRAIN_0916,c1ccc(CCNCc2cccc(Oc3nnnn3-c3ccccc3)c2)cc1,17.91,9.19,4.261,371.435,5,1,8,4.139,64.86
TRAIN_0917,Cl/C(=C/c1cccc2nccn12)c1nc2ccccc2s1,0.589,0.779,3.844,311.789,2,0,2,3.851,58.43
TRAIN_0918,Cc1cccc(-n2nc(-c3cnn(C)c3C)c(Cl)c2-c2cnn(C)c2C)c1,2.74,1.14,4.554,380.874,3,0,3,4.555,53.46
TRAIN_0919,Cc1nc(S(=O)(=O)NCc2c3c(nn2C)CCC3)cn1C,52.214,37.354,1.009,309.387,4,1,4,1.01,90.19
TRAIN_0920,Cc1ccc(S(=O)(=O)N2CCCC(C(=O)Nc3ccc4[nH]c(C5CCCO5)nc4c3)C2)s1,30.98,80.18,2.379,474.596,5,2,5,2.378,141.0
TRAIN_0921,Cn1cc(C2(C)CN(Cc3nc(-c4cccs4)n[nH]3)CCO2)cn1,60.211,83.332,1.585,344.435,5,1,4,1.531,100.1
TRAIN_0922,Cc1noc2c1C(CC(C)C)C1=C(O)CC(C)(C)CC1=N2,17.803,30.091,3.295,288.385,3,1,2,3.192,58.62
TRAIN_0923,COc1ccc2c(c1)OCC(Cc1ccc(OC)c(O)c1)C2=O,1.109,26.875,3.163,314.333,5,1,4,3.158,64.99
